,word,furigana,translation,jlpt_level,romaji,num_characters,stroke_count
4832,過ごす,すごす,"to pass, to spend (time)",N3,sugosu,3,18
4833,筋,すじ,"muscle, string, line",N3,suji,1,12
4834,進める,すすめる,"to advance, to promote, to hasten",N3,susumeru,3,14
4835,勧める,すすめる,"to urge (someone) to do (something), to recommend",N3,susumeru,3,16
4836,スター,スター,star,N3,sutaー,3,5
4837,スタイル,スタイル,style,N3,sutairu,4,9
4838,スタンド,スタンド,stand,N3,sutando,4,11
4839,頭痛,ずつう,headache,N3,zutsuu,2,28
4840,ずっと,ずっと,for a long time; all the time; consecutively,N3,zutto,3,7
4841,すっぱい,すっぱい,"sour, acid",N3,suppai,4,9
4842,すてき,すてき,"lovely, great",N3,suteki,3,6
4843,既に,すでに,already (same as もう),N3,sudeni,2,13
4844,すなわち,すなわち,"that is, namely, e.g.",N3,sunawachi,4,10
4845,スピーチ,スピーチ,speech,N3,supiーchi,4,8
4846,全て,すべて,"all, the whole, entirely",N3,subete,2,7
4847,済ませる,すませる,to be finished,N3,sumaseru,4,18
4848,角,すみ,corner,N3,sumi,1,7
4849,墨,すみ,ink,N3,sumi,1,14
4850,すみません (かん),すみません (かん),"sorry, excuse me",N3,sumimasen (kan),10,15
4851,澄む,すむ,"to clear (e.g., weather), to become transparent",N3,sumu,2,18
4852,清む,すむ,"to clear (e.g., weather), to become transparent",N3,sumu,2,14
4853,刷る,する,to print,N3,suru,2,9
4854,為る,する,"to do, to attempt",N3,suru,2,10
4855,鋭い,するどい,"pointed, sharp",N3,surudoi,2,17
4856,すれ違う,すれちがう,to pass by one another,N3,surechigau,4,19
4857,ずれる,ずれる,"move, off the point",N3,zureru,3,7
4858,正,せい,"(logical) true, regular",N3,sei,1,5
4859,生,せい,birth,N3,sei,1,5
4860,性,せい,"sex, gender",N3,sei,1,8
4861,姓,せい,"surname, family name",N3,sei,1,8
4862,所為,せい,"cause, reason, fault",N3,sei,2,17
4863,税,ぜい,tax,N3,zei,1,12
4864,性格,せいかく,"character, personality",N3,seikaku,2,18
4865,正確,せいかく,"accurate, punctuality, exact",N3,seikaku,2,20
4866,世紀,せいき,century,N3,seiki,2,14
4867,請求,せいきゅう,"claim, demand, request",N3,seikyuu,2,22
4868,税金,ぜいきん,"tax, duty",N3,zeikin,2,20
4869,清潔,せいけつ,clean,N3,seiketsu,2,26
4870,制限,せいげん,"restriction, restraint, limitation",N3,seigen,2,17
4871,成功,せいこう,"success, hit",N3,seikou,2,11
4872,正式,せいしき,"official, formal",N3,seishiki,2,11
