whole_word,whole_word_furigana,whole_word_romaji,whole_word_translation,jlpt_level,character,kanji_use_count,kanji_stroke_count,kanji_translation,kun_readings,kun_romaji,on_readings,on_romaji,radical_basis,radical_meaning,kana_romaji,kana_stroke_count,char_type
降水,こうすい,kousui,"rainfall, precipitation",N1,降,7.0,10.0,"descend, precipitate, fall, surrender","お.りる, お.ろす, ふ.る, ふ.り, くだ.る, くだ.す","o.riru, o.rosu, fu.ru, fu.ri, kuda.ru, kuda.su","コウ, ゴ","kou, go",dam,mound,,,kanji
降水,こうすい,kousui,"rainfall, precipitation",N1,水,32.0,4.0,water,"みず, みず-","mizu, mizu-",スイ,sui,水,water,,,kanji
洪水,こうずい,kouzui,flood,N1,洪,1.0,9.0,"deluge, flood, vast",,,コウ,kou,水,water,,,kanji
洪水,こうずい,kouzui,flood,N1,水,32.0,4.0,water,"みず, みず-","mizu, mizu-",スイ,sui,水,water,,,kanji
合成,ごうせい,gousei,"synthetic, mixed",N1,合,55.0,6.0,"fit, suit, join, 0.1","あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる","a.u, -a.u, a.i, ai-, -a.i, -ai, a.wasu, a.waseru, -a.waseru","ゴウ, ガッ, カッ","gou, ga, ka",口,mouth,,,kanji
合成,ごうせい,gousei,"synthetic, mixed",N1,成,20.0,6.0,"turn into, become, get, grow, elapse, reach","な.る, な.す, -な.す","na.ru, na.su, -na.su","セイ, ジョウ","sei, jou",戈,spear,,,kanji
公然,こうぜん,kouzen,openly,N1,公,20.0,4.0,"public, prince, official, governmental",おおやけ,ooyake,"コウ, ク","kou, ku",八,eight,,,kanji
公然,こうぜん,kouzen,openly,N1,然,14.0,12.0,"sort of thing, so, if so, in that case, well","しか, しか.り, しか.し, さ","shika, shika.ri, shika.shi, sa","ゼン, ネン","zen, nen",火,fire,,,kanji
抗争,こうそう,kousou,"dispute, resistance",N1,抗,5.0,7.0,"confront, resist, defy, oppose",あらが.う,araga.u,コウ,kou,手,hand,,,kanji
抗争,こうそう,kousou,"dispute, resistance",N1,争,8.0,6.0,"contend, dispute, argue","あらそ.う, いか.でか","araso.u, ika.deka",ソウ,sou,亅,hook,,,kanji
構想,こうそう,kousou,"plan, plot, idea, conception",N1,構,7.0,14.0,"posture, stance, appearance, build, set up","かま.える, かま.う","kama.eru, kama.u",コウ,kou,木,tree,,,kanji
構想,こうそう,kousou,"plan, plot, idea, conception",N1,想,11.0,13.0,"idea, thought, conception, think",おも.う,omo.u,"ソウ, ソ","sou, so",心,heart,,,kanji
後退,こうたい,koutai,"retreat, backspace",N1,後,20.0,9.0,"behind, back, later","のち, うし.ろ, うしろ, あと, おく.れる","nochi, ushi.ro, ushiro, ato, oku.reru","ゴ, コウ","go, kou",彳,step,,,kanji
後退,こうたい,koutai,"retreat, backspace",N1,退,12.0,9.0,"retreat, withdraw, retire, resign, repel, expel, reject","しりぞ.く, しりぞ.ける, ひ.く, の.く, の.ける, ど.く","shirizo.ku, shirizo.keru, hi.ku, no.ku, no.keru, do.ku",タイ,tai,辵,walk,,,kanji
光沢,こうたく,koutaku,"luster, glossy finish (of photographs)",N1,光,11.0,6.0,"ray, light","ひか.る, ひかり","hika.ru, hikari",コウ,kou,儿,legs,,,kanji
光沢,こうたく,koutaku,"luster, glossy finish (of photographs)",N1,沢,3.0,7.0,"swamp, marsh, brilliance, grace","さわ, うるお.い, うるお.す, つや","sawa, uruo.i, uruo.su, tsuya",タク,taku,水,water,,,kanji
公団,こうだん,koudan,public corporation,N1,公,20.0,4.0,"public, prince, official, governmental",おおやけ,ooyake,"コウ, ク","kou, ku",八,eight,,,kanji
公団,こうだん,koudan,public corporation,N1,団,10.0,6.0,"group, association","かたまり, まる.い","katamari, maru.i","ダン, トン","dan, ton",囗,enclosure,,,kanji
好調,こうちょう,kouchou,"satisfactory, in good shape",N1,好,18.0,6.0,"fond, pleasing, like something","この.む, す.く, よ.い, い.い","kono.mu, su.ku, yo.i, i.i",コウ,kou,女,woman,,,kanji
好調,こうちょう,kouchou,"satisfactory, in good shape",N1,調,21.0,15.0,"tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate","しら.べる, しら.べ, ととの.う, ととの.える","shira.beru, shira.be, totono.u, totono.eru",チョウ,chou,言,speech,,,kanji
口頭,こうとう,koutou,oral,N1,口,22.0,3.0,mouth,くち,kuchi,"コウ, ク","kou, ku",口,mouth,,,kanji
口頭,こうとう,koutou,oral,N1,頭,9.0,16.0,"head, counter for large animals","あたま, かしら, -がしら, かぶり","atama, kashira, -gashira, kaburi","トウ, ズ, ト","tou, zu, to",頁,leaf,,,kanji
講読,こうどく,koudoku,reading,N1,講,8.0,17.0,"lecture, club, association",,,コウ,kou,言,speech,,,kanji
講読,こうどく,koudoku,reading,N1,読,8.0,14.0,read,"よ.む, -よ.み","yo.mu, -yo.mi","ドク, トク, トウ","doku, toku, tou",言,speech,,,kanji
購読,こうどく,koudoku,subscription,N1,購,3.0,17.0,"subscription, buy",,,コウ,kou,貝,shell,,,kanji
購読,こうどく,koudoku,subscription,N1,読,8.0,14.0,read,"よ.む, -よ.み","yo.mu, -yo.mi","ドク, トク, トウ","doku, toku, tou",言,speech,,,kanji
購入,こうにゅう,kounyuu,"purchase, buy",N1,購,3.0,17.0,"subscription, buy",,,コウ,kou,貝,shell,,,kanji
購入,こうにゅう,kounyuu,"purchase, buy",N1,入,37.0,2.0,"enter, insert","い.る, -い.る, -い.り, い.れる, -い.れ, はい.る","i.ru, -i.ru, -i.ri, i.reru, -i.re, hai.ru","ニュウ, ジュ","nyuu, ju",入,enter,,,kanji
公認,こうにん,kounin,"official recognition, authorization",N1,公,20.0,4.0,"public, prince, official, governmental",おおやけ,ooyake,"コウ, ク","kou, ku",八,eight,,,kanji
公認,こうにん,kounin,"official recognition, authorization",N1,認,5.0,14.0,"acknowledge, witness, discern, recognize, appreciate, believe","みと.める, したた.める","mito.meru, shitata.meru",ニン,nin,言,speech,,,kanji
