kanji,count,strokes,kun_readings,on_readings
臭,3,9,"['くさ.い', '-くさ.い', 'にお.う', 'にお.い']",['シュウ']
温,15,12,"['あたた.か', 'あたた.かい', 'あたた.まる', 'あたた.める', 'ぬく']",['オン']
身,20,7,['み'],['シン']
鉛,2,13,['なまり'],['エン']
嘗,1,14,"['かつ.て', 'こころ.みる', 'な.める']","['ショウ', 'ジョウ']"
悩,4,10,"['なや.む', 'なや.ます', 'なや.ましい', 'なやみ']",['ノウ']
並,9,8,"['な.み', 'なみ', 'なら.べる', 'なら.ぶ', 'なら.びに']","['ヘイ', 'ホウ']"
慣,8,14,"['な.れる', 'な.らす']",['カン']
馴,3,13,"['な.れる', 'な.らす', 'したが.う']","['ジュン', 'シュン', 'クン']"
荷,3,10,['に'],['カ']
似,6,7,"['に.る', 'ひ.る']",['ジ']
通,40,10,"['とお.る', 'とお.り', '-とお.り', '-どお.り', 'とお.す', 'とお.し', '-どお.し', 'かよ.う']","['ツウ', 'ツ']"
賑,1,14,"['にぎ.わい', 'にぎ.やか', 'にぎ.わす', 'にぎ.わう']",['シン']
